,text,sentimen,clean_teks
19,"Staff hotel ramah sangat membantu saat check-in, Hotel nyaman bersih ramah keluarga. Makanan enak, menu banyak varian. Ada minimarket yang lengkap di dalam hotel, jadi ndak usah keluar kalo mau beli keperluan ataupun makanan ringan. Lokasi dekat dengan jalan braga, BIP.",positif,staff hotel ramah bantu checkin hotel nyaman bersih ramah keluarga makan enak menu varian minimarket lengkap hotel ndak kalo beli perlu makan ringan lokasi jalan braga bip
20,"Lokasi deket jalan Braga kebersihan n kenyaman ok, next nginep lagi di sini.",positif,lokasi deket jalan braga bersih n kenyam ok next nginep
21,"Staf hotel sangat ramah, dapet upgrade kamar yang lebih besar sering-sering aja ya El 😁. Tiap kebandung pasti minapnya di sini. Terima kasih El hotel next pasti minap di sini lagi.",positif,staf hotel ramah dapet upgrade kamar seringsering aja ya el bandung map terima kasih el hotel next map
22,Staff nya ramah dan harga yang sangat memuaskan.,positif,staff nya ramah harga muas
23,"Kamar bagus, dapat free ulang tahun. Kolam renang luas.",positif,kamar bagus free ulang kolam renang luas
24,"Staff cepat membantu, kolam renang dan gym luas.",positif,staff cepat bantu kolam renang gym luas
25,"Staf ramah-ramah, makanan enak, kolam renangmya juga enak buat berenang. Cuma kamar condotelnya agak sempit kamar mandinya. Kaya model Apartmen.",positif,staf ramahramah makan enak kolam renangmya enak renang kamar condotelnya sempit kamar mandi kaya model apartmen
26,Mantap anak² seneng pasti balik lagi.,positif,mantap anak neng
27,Pelayanan hotel bagus dan bersih.,positif,layan hotel bagus bersih
28,"Sering nginap di sini karena staff hotel sangat ramah, makanan sangat enak dan bervariasi. Terima kasih.",positif,nginap staff hotel ramah makan enak variasi terima kasih
29,"Sangat menyenangkan staycation di el hotel bandung. Fasilitasnya lengkap, staff hotelmya juga ramah. Terima kasih elhotel Bandung",positif,senang staycation el hotel bandung fasilitas lengkap staff hotelmya ramah terima kasih elhotel bandung
30,"Pesan 2 kamar tipe condotel studio. Pengalaman Saya selama menginap di sini sangat berkesan dan memuaskan, Pelayanan yang baik serta fasilitas yang bagus. Terima kasih El hotel Bandung",positif,pesan kamar tipe condotel studio alam inap kesan muas layan fasilitas bagus terima kasih el hotel bandung
31,"Bikin betah, kamarnya bersih, nyaman, ac nya mantep. Next aku kesana lagi yaa.",positif,bikin betah kamar bersih nyaman ac nya mantep next kesana yaa
32,"Staf hotel ramah, pelayanannya luar biasa dan makanan nya enak-enak banget ke Braga tinggal jalan kaki pokonya next time pasti balik lagi. Thank you",positif,staf hotel ramah layan makan nya enakenak banget braga tinggal jalan kaki poko next time thank you
33,"Dapet kamar yang d upgrade tanpa biaya tambahan. Lantai kamar dapat tanpa memakai karpet jadi oke banget. Seluruh staf hotel ramah mulai dari receptionis, resto, cleaning service dan lain-lain. Fasilitas kolam renang yang oke, bersih dan nyaman. Recommended! Hatur nuhun El Hotel.",positif,dapet kamar d upgrade biaya tambah lantai kamar pakai karpet oke banget staf hotel ramah receptionis resto cleaning service lainlain fasilitas kolam renang oke bersih nyaman recommended hatur nuhun el hotel
34,"+ kamar nyaman rapih, pusat kota,+ jalan jalan ke Braga malam hari seru banget.+kolam renang juga gak dingin paling utama dicari ini.+ stapnya baik-baik, enak dipandang ramah.🥰.- kamar tidak kedap suara.- keramik kolam renang ada yang lepas untuk kolam anak-anak.*saran tolong diperhatikan untuk pihak hotel agar segera diperbaiki karena takut berbahaya 🙏. Overall bagus😍kan lebih banyak + nya pasti soon akan kembali lagi kesini. Terima kasih El royal hotel bandung.",positif,kamar nyaman rapih pusat kota jalan jalan braga malam seru bangetkolam renang gak dingin utama cari stapnya baikbaik enak pandang ramah kamar kedap suara keramik kolam renang lepas kolam anakanaksaran tolong perhati hotel baik takut bahaya overall bagus nya soon kesini terima kasih el royal hotel bandung
35,"Baru pertama kali nginap di sini, bakal nginap di sini lagi kalo ke bandung.",positif,kali nginap nginap kalo bandung
36,"Puas banget nginep di sini. Staff sangat ramah, kamar sangat nyaman dan bersih. Breakfast pun makanan nya sangat enak. Request untuk city view dikasih beneran dong😁 minus nya hanya security nya saja kurang ramah dan kurang inisiatif. Saya baru pertama kali nginap di sini dan kebingungan masalah tempat parkir untuk motor, nanya security tapi jawaban nya jutek dan ketus. Itu aja sih kekurangannya, selebihnya good semua. Thank you El Hotel Bandung semoga next time bisa nginep di sini lagi☺️🙏🏻",positif,puas banget nginep staff ramah kamar nyaman bersih breakfast makan nya enak request city view kasih beneran minus nya security nya ramah inisiatif kali nginap bingung parkir motor nanya security nya jutek ketus aja sih kurang lebih good thank you el hotel bandung moga next time nginep
37,"Sangat menyenangkan dan recommended buat berlibur, karena tempatnya Deket dari braga.",positif,senang recommended libur tempat deket braga
38,"Staff Hotel semua sangat ramah, kebersihan terjaga.",positif,staff hotel ramah bersih jaga
39,"Pool besar dan ada pool dewasa & anak, pilihan condotel atau hotel, akses near braga street. Ramah dan nyaman untuk family",positif,pool pool dewasa anak pilih condotel hotel akses near braga street ramah nyaman family
40,Hotel yang family friendly khusunya yang condotelny,positif,hotel family friendly khusunya condotelny
41,Untuk ke 2 kali nya menginap di sini dan tetap puas dengan pelayanan serta fasilitas yang ada di hotel ini. Kamar bersih staff nya semuanya ramah dan lokasi nya dekat dengan braga yang utama ke hotel ini karena anak ku senang bisa lihat kereta lewat,positif,kali nya inap puas layan fasilitas hotel kamar bersih staff nya ramah lokasi nya braga utama hotel anak ku senang lihat kereta
42,Staff hotel ramah dan sangat membantu. Breakfast variatif dan rasanya lumayan enak.,positif,staff hotel ramah bantu breakfast variatif lumayan enak
43,"Ada 2 area breakfast di lobby lt1 dan lantai 4 dekat kolam renang, tapi menurut saya yang nyaman di lantai 4 karena areanya semi outdoor. Menu cukup variatif. Letak strategis dekat kawasan Braga cukup jalan kaki sj. Area parkir luas. Staff cukup ramah dan kooperatif.",positif,area breakfast lobby lt lantai kolam renang nyaman lantai area semi outdoor menu variatif letak strategis kawasan braga jalan kaki sj area parkir luas staff ramah kooperatif
44,Tempatnya nyaman luas fasilitas cukup lengkap~ de best deh~,positif,tempat nyaman luas fasilitas lengkap de best deh
45,"Semua staff sangat ramah, kamar bersih wangi dan semua request yang dituliskan dikabulkan. Ah makasi el 💕.",positif,staff ramah kamar bersih wangi request tulis kabul ah makas el
46,"Recommended deh. Lokasi strategis, jalan kaki bisa ke braga.",netral,recommended deh lokasi strategis jalan kaki braga
47,"Semoga bisa dapat promo khusus, supaya nanti bisa ke el royal lagi.",positif,moga promo khusus el royal
48,Sudah beberapa kali saya menginap di El Hotel. Secara keseluruhan saya suka menginap di sini. Recommended.,netral,kali inap el hotel suka inap recommended
49,"View dari kamar lantai 9, kelihatan gunung dan kota bandung.",netral,view kamar lantai gunung kota bandung
50,"Kesekian kalinya menginap di El Hotel Bandung, sekalipun pesannya pas dijalan karena dadakan kebandung, selalu berkesan menyenangkan menginap di sini dalam hal apapun, terima kasih El Hotel Bandung & aplikasi.",positif,sekian kali inap el hotel bandung pesan pas jalan dada bandung kesan senang inap apa terima kasih el hotel bandung aplikasi
51,Hotel bintang 4 terbaik dari sisi pelayanan dan lokasi hingga makanan. Akan datang lagi ke hotel ini.,positif,hotel bintang baik sisi layan lokasi makan hotel
52,"Staff hotel nya sangat ramah banget, enggak cukup cuma sekali nginep saja.",positif,staff hotel nya ramah banget nginep
53,"Brongkosnya seger n sambelnya enak, bread puding enak ga enek meskipun menurut saya terlalu manis. Yang terpenting bersih n udara yang keluar dari ac ga apek. Stafnya ramah semua bahkan anak aku mau ke toilet pas lagi sarapan dianter. Makasih buat Mbak rambut pendek yang ada area breakfast lupa namanya.",positif,brongkos seger n sambelnya enak bread puding enak ga enek manis penting bersih n udara ac ga apek staf ramah anak toilet pas sarap anter makasih mbak rambut pendek area breakfast lupa nama
54,"Breakfast banyak pilihan, rasanya pun enak-enak. Pelayanan baik, staff ramah-ramah",positif,breakfast pilih enakenak layan staff ramahramah
55,"Luar biasa. Mantap. Asyrk dan nyaman, bersih.",positif,mantap asyrk nyaman bersih
56,Alhamdulillah nginap di el hotel bandung sangat nyaman sekali. Untuk pelayanannya sangat baik sekali. Untuk makanannya luar biasa sangat lezat baik room service dan breakfastnya. Insya allah saya sekeluarga akan menginap kembali di sini.,positif,alhamdulillah nginap el hotel bandung nyaman layan makan lezat room service breakfastnya insya allah keluarga inap
57,"Hotelnya keren banget, terutama kamar condotel nya, dekat dengan braga, dekat ke stasiun, cocok banget buat liburan sama. Keluarga, bakalan kesana lagi nanti. Top banget.",positif,hotel keren banget kamar condotel nya braga stasiun cocok banget libur keluarga kesana top banget
58,"Vibesnya kayak hotel bintang 5 yang megah tp versi agak jadul, so far kenyamanan bermalam tidak ada yang mengecewakan karena dkt dengan pusat keramaian di Braga (cukup jalan kaki 5 menit). Pelayan ramah. Hanya saja pas tamu ramai banget kewalahan menyiapkan breakfast padahal hotel sudah buka 4 lokasi resto. Banyak banget peminat di hotel ini. Sudah pasti approve untuk bermalam di sini lagi dilain kesempatan.",positif,vibesnya kayak hotel bintang megah tp versi jadul so far nyaman malam kecewa dkt pusat ramai braga jalan kaki menit layan ramah pas tamu ramai banget kewalahan breakfast hotel buka lokasi resto banget minat hotel approve malam lain sempat
59,"Pelayanan sangat bagus, tiap ke Bandung pasti nginap di sini, lokasi di tengah Kota, sangat dekat dengan Braga, Gereja Katedral dan Stasiun Bandung. Pokoke sangat superr, sangat recommended",positif,layan bagus bandung nginap lokasi kota braga gereja katedral stasiun bandung pokoke superr recommended
60,"Pertama kali menginap di El hotel ini, kami semua cukup puas, kamarnya luas dan bersih, handuk-handuk nya juga bersih dan putih, kolam renang hangat jadi kita udah berenang jam 6 pagi. Dekat kemana-mana ke braga tinggal jalan kaki di sana sudah pusat makanan. Pokoknya klw ke bandung lagi akan menginap di sini",positif,kali inap el hotel puas kamar luas bersih handukhanduk nya bersih putih kolam renang hangat udah renang jam pagi kemanamana braga tinggal jalan kaki pusat makan pokok klw bandung inap
61,"Sampe dihotel, semua crew ramah² sekali. Kamarpun wow banget, luas dan ada bathupnya, makanan ga ada yang failed, kolam renang best",positif,sampe hotel crew ramah kamar wow banget luas bathupnya makan ga failed kolam renang best
62,Salah satu hotel pilihan kalo lagi dibandung👍,netral,salah hotel pilih kalo bandung
63,"Menginap di sini adalah pilihan yang terbaik. Saya staycation di sini selama 2 hari dan memilih tipe yang condotel, yang memiliki kamar yang luas dan kamar mandi bathtub. Kolam renangnya sangat luas dan ada air hangat sehingga anak saya sangat senang berenang.",positif,inap pilih baik staycation pilih tipe condotel milik kamar luas kamar mandi bathtub kolam renang luas air hangat anak senang renang
64,"Langganan staycation di sini, selalu puas.",positif,langgan staycation puas
65,"Terima kasih El Hotel sudah membuat liburan saya & keluarga menyenangkan. Hotelnya sangat nyaman & bersih, semua fasilitas di hotel ini bisa gunakan dengan baik. Apalagi untuk kolam renangnya air hangat, saya & keluarga sangat suka bisa berendam tanpa takut kedinginan. Pastinya saya akan ksini lagi 🥰",positif,terima kasih el hotel libur keluarga senang hotel nyaman bersih fasilitas hotel kolam renang air hangat keluarga suka rendam takut dingin pasti ksini
66,Hotel bagus ramah dikantong. Pelayanan cepat wlwpun lagi liburan panjang. Kolam renangnya besar dan ada kolam air hangatny. Rekomen untuk yang bawa anak-anak.,positif,hotel bagus ramah kantong layan cepat wlwpun libur kolam renang kolam air hangatny rekomen bawa anakanak
67,Bagus banget pelayanan dan tempatnya.,positif,bagus banget layan tempat
68,"Tempat menginap yang nyaman dan lokasi yang strategis. Positif: dekat braga, view kamar bagus, sarapan paginya enak, staff hotel ramah. Negatif: kurang suka kamar mandi bathtub yang masih model lama, tidak ada kids club atau playground.",positif,inap nyaman lokasi strategis positif braga view kamar bagus sarap pagi enak staff hotel ramah negatif suka kamar mandi bathtub model kids club playground
69,"Nyaman, Pelayanan Ramah, Sarapan enak",positif,nyaman layan ramah sarap enak
70,"Kamar bagus, makanan enak, bakal balik lagi hehe.",positif,kamar bagus makan enak hehe
71,"Hotelnya nyaman, semua pelayanannya ramah dan baik recommend banget buat liburan hotelnya.",positif,hotel nyaman layan ramah recommend banget libur hotel
72,Tempatnya yang sangat strategis di tengah kota jadi mudah kemana saja. Dan yang pasti hotelnya keren banget.,positif,tempat strategis kota mudah mana hotel keren banget
73,"Worth it banget! 🙌🏻🌷. InsyaAllah kalo ke Bandung bakal nginep di sini lagi, makanannya enak-enak🫶🏻.",positif,worth it banget insyaallah kalo bandung nginep makan enakenak
74,"Perfect. Untuk kesekian kalinya nginap di sini, tetap menjadi pilihan pertama untuk staycation di Bandung, saya memilih tipe condotel biar kamarnya luas, kamar mandinya ada bathtub, air panasnya lancar, kolam renang besar, makanan enak, dekat ke jalan Braga buat malem-malem kulineran, pokoknya terbaik.",positif,perfect sekian kali nginap pilih staycation bandung pilih tipe condotel biar kamar luas kamar mandi bathtub air panas lancar kolam renang makan enak jalan braga malemmalem kuliner pokok baik
75,"Pelayananan oke, makanan enak, kamarnya ok.",positif,pelayananan oke makan enak kamar ok
76,"Sangat cocok untuk family staycation, el royale selalu jadi pilihan favorite keluarga kami, breakfast nya juga enak-enak fasilitas dan lain-lain tidak perlu diragukan lagi the best pokoknya🥰.",positif,cocok family staycation el royale pilih favorite keluarga breakfast nya enakenak fasilitas lainlain ragu the best pokok
77,"Kami menginap pada libur natal kemaren, kamar luas dan nyaman, menu breakfast enak, dan kerennya mereka memindahkan resto ke ballroom supaya bisa menampung tamu hotel yang banyak, dan makanan pun tidak pernah habis², kalau ke bandung pasti akan menginap lagi di sini karena aksesnya dekat kemana².",positif,inap libur natal kemaren kamar luas nyaman menu breakfast enak keren pindah resto ballroom tampung tamu hotel makan habis bandung inap akses mana
78,"Kamarnya nyaman banget, pencahayaan kamarnya keren, jadi betah di kamar.",positif,kamar nyaman banget cahaya kamar keren betah kamar
79,"Pelayanannya ramah, kamar bagus dan sesuai pesanan, kemana-mana juga dekat.",positif,layan ramah kamar bagus sesuai pesan kemanamana
80,Menyenangkan menginap di sini ❤ Terima Kasih.,positif,senang inap terima kasih
81,"Lokasi strategis, dekat Braga, kamar hotel luas dengan fasilitas yang memuaskan, breakfast juga enak dan pilihan menunya banyak, cuman waktu itu saya baru bisa masuk hotel pukul 16.00 mungkin karena lagi musim liburan.",positif,lokasi strategis braga kamar hotel luas fasilitas muas breakfast enak pilih menu cuman masuk hotel musim libur
82,Kami sekeluarga sangat menikmati menginap di El Hotel Bandung. Secara keseluruhan semuanya baik. Recommended. Oke deh pokoknya.,positif,keluarga nikmat inap el hotel bandung recommended oke deh pokok
83,"Udah pasti nginep di sini kalo ke Bandung dan kali ini dapet upgrade kamar di deluxe ke executive tanpa biaya tambahan, untuk fasilitas dan layanan semuanya selalu baik",positif,udah nginep kalo bandung kali dapet upgrade kamar deluxe executive biaya tambah fasilitas layan
84,"Tempat nyaman, fasilitas oke semua. Have a great staycation here! 🥰.",positif,nyaman fasilitas oke have a great staycation here
85,"Pelayanan ramah, kamar luas dan bersih.",positif,layan ramah kamar luas bersih
86,"Tempat strategis, pelayanan ramah, menu sarapan banyak, hotel bersih. 👍.",positif,strategis layan ramah menu sarap hotel bersih
87,"Ya. Kesekian kali nya, sudah tak terhitung lagi menginap dan menghabiskan waktu di El Hotel bandung, sangat nyaman untuk bawa keluarga, roomnya besar dan nyaman, pelayan roo servicenya gercep dan ramah, rapi customer service nya justru kurang frendly, makan nya enak semua, tapi tidak pernah ada lontong sayur. Kolam renangnya juga besar. Ok banget. Dan tidak perlu ke yang lain El Hotel Bandung pilihan terbaik 👌 thx.",positif,ya sekian kali nya hitung inap habis el hotel bandung nyaman bawa keluarga roomnya nyaman layan roo servicenya gercep ramah rapi customer service nya frendly makan nya enak lontong sayur kolam renang ok banget el hotel bandung pilih baik thx
88,"Hotel bagus, staf ramah, kamar besar, fasilitas lengkap dan yang paling utama adalah menu breakfast enak pake banget + ada ketan hitam😍.",positif,hotel bagus staf ramah kamar fasilitas lengkap utama menu breakfast enak pake banget ketan hitam
89,Selalu puas dengan fasilitas hotel.,positif,puas fasilitas hotel
90,"Staycation di sini worth to try sih. Best! Pelayanan ramah. Kamarnya pun wangi dan bersih. AC dingin. Air di kamar mandi pun lancar, jadi isi bathub hanya butuh beberapa menit saja. Breakfast nya juga enak, banyak macamnya, apalagi mixed juice enak banget! Fasilitas kolam renangnya pun baik, ada kolam air panasnya, dikasih handuk juga untuk berenang.",positif,staycation worth to try sih best layan ramah kamar wangi bersih ac dingin air kamar mandi lancar isi bathub butuh menit breakfast nya enak macam mixed juice enak banget fasilitas kolam renang kolam air panas kasih handuk renang
91,"Saya selalu menginap di El Hotel kalo ke Bandung, kamarnya luas, bersih, sarapannya selalu enak, terima kasih El Hotel & aplikasi saya akan datang lagi di lain waktu.",positif,inap el hotel kalo bandung kamar luas bersih sarap enak terima kasih el hotel aplikasi
92,"Sudah tak terhitung berapa kali kami sekeluarga menginap di el bandung. Pokoknya setiap liburan atau business trip ke Bandung tujuan kami pulang ya ke el Bandung. Btw, terima kasih banyak atas fasilitas dan layanan terbaik untuk kami sekeluarga, terutama anak-anak happy banget. Tunggu kami di next vacation and bussines trip yaa. ♥️",positif,hitung kali keluarga inap el bandung pokok libur business trip bandung tuju pulang ya el bandung terima kasih fasilitas layan baik keluarga anakanak happy banget tunggu next vacation and bussines trip yaa
93,"Selalu jadi pilihan favorit keluarga. 1. Lokasi di tengah kota. 2. Fasilitas dan kebersihan yang baik. 3. Makanan yang enak dan variasinya banyak. 4. Cocok untuk family trip, punya pool yang besar dan tersedia juga untuk anak. 5. Friendly prices 😁.",positif,pilih favorit keluarga lokasi kota fasilitas bersih makan enak variasi cocok family trip pool sedia anak friendly prices
94,"Letak hotel di tengah kota Bandung. Kamarnya luas. Pelayanan sangat baik request untuk dekat dengan akses kolam renang di approve, makanan enak dan banyak variasinya serta terima kasih kepada manager/SPV & FDA/GSA yang sigap & cekatan dengan membuka counter check in tambahan yang pada saat itu situasi crowded banget dan antrian sudah mulai panjang di main receptionist dimana saat itu juga berbarengan dengan event wisuda sehingga proses check in kami bisa diproses dengan cepat.",positif,letak hotel kota bandung kamar luas layan request akses kolam renang approve makan enak variasi terima kasih managerspv fdagsa sigap cekat buka counter check in tambah situasi crowded banget antri main receptionist mana bareng event wisuda proses check in proses cepat
95,"Saya dan keluarga sangat menikmati staycation, makanan nya enak, bersih dan nyaman, kolam renang nya ada air hangat juga bisa melemaskan otot-otot yang pegal.",positif,keluarga nikmat staycation makan nya enak bersih nyaman kolam renang nya air hangat lemas otototot pegal
96,Sangat nyaman ruangannya cukup luas dan bersih.,positif,nyaman ruang luas bersih
97,"Menginap 3d 2n, hotel bersih dan cukup nyaman, deket ke braga, kemana-mana deket, menu sarapan banyak pilihan dan enak. Walau tamu hotel saat itu lagi ramai ya karena ada acara moge, wedding dan lain-lain, namun pelayanan hotel tetap oke. Next akan menginap lagi ke El Royal Hotel.",positif,inap d n hotel bersih nyaman deket braga kemanamana deket menu sarap pilih enak tamu hotel ramai ya acara moge wedding lainlain layan hotel oke next inap el royal hotel
98,"Saya nginep 2 malam 3 kamar menghadiri wisuda anak di Bandung. MasyaAllah kamarnya bersih, bantal kasur handuk bersih. Pelayanannya ramah dan cepet, bolak balik pinjem setrika gercep deh. Kolamnya bersih dan luas. Sarapannya enak dan variasinya banyak. Dan ini nih yang paling oke: kamar kita di upgrade ke lantai 19. For sure kita bakal balik nginep lagi di sini deh. El Hotel Bandung keren!",positif,nginep malam kamar hadir wisuda anak bandung masyaallah kamar bersih bantal kasur handuk bersih layan ramah cepet bolak pinjem setrika gercep deh kolam bersih luas sarap enak variasi nih oke kamar upgrade lantai for sure nginep deh el hotel bandung keren
99,Makanannya mantap. Kamar nya keren. Nyaman.,positif,makan mantap kamar nya keren nyaman
100,Hotelnya sangat bagus dan bersih. Untuk petugas stafnya juga ramah-ramah. Kamarnya pun sangat bersih. Untuk parkiran mobil pun luas dan di dalam sehingga mobil tidak terjemur matahari dan kehujanan. Untuk sarapannya juga menunya enak-enak. Sangat puas menginap di sini.,positif,hotel bagus bersih tugas staf ramahramah kamar bersih parkir mobil luas mobil jemur matahari hujan sarap menu enakenak puas inap
101,Kamarnya oke nyaman bersih unk breakfast nya juga banyak variasi dan enak-enak.,positif,kamar oke nyaman bersih unk breakfast nya variasi enakenak
102,"Kamar nyaman, bersih, dan pelayanan ramah. Mantaplah pokoknya.",positif,kamar nyaman bersih layan ramah mantap pokok
103,"Tempat nya enak untuk keluarga, nyaman, makanan enak, sayangnya saya sempat mendapatkan kamar yang telah ada tamu yang menginap, saya berharap agar dapat ditingkatkan lagi pada pencatatan pada setiap kamar yang telah terisi. Terima kasih overall verry happy.",positif,nya enak keluarga nyaman makan enak sayang kamar tamu inap harap tingkat catat kamar isi terima kasih overall verry happy
104,"Hotel langganan kalau setiap ke Bandung dan ini ke 3x menginap bersama keluarga, dari segi breakfast, kamar yang oke",positif,hotel langgan bandung x inap keluarga segi breakfast kamar oke
105,"Setiap ke Bandung selalu nginep di eL, udah terlalu nyaman sih keluarga ku di eL Hotel. Udah gitu mau jalan-jalan pun dekat sekali kemana-mana. Staff nya pun sangat friendly dan hangat kepada tamu. Ke Bandung, ya selalu pulang ke eL Hotel Bandung ♥️❤️",positif,bandung nginep el udah nyaman sih keluarga ku el hotel udah gitu jalanjalan kemanamana staff nya friendly hangat tamu bandung ya pulang el hotel bandung
106,"Saya dan keluarga senang menginap di sini selama berlibur di Bandung, check in mudah dan cepat, sangat dekat dengan Jalan Braga, tinggal jalan kaki, bisa request lantai yang tinggi dan view kolam renang, sehingga ketika anak & suami renang saya bisa beristirahat di kamar dan tetap bisa melihat dari kamar dan sangat jelas, kolam renang bagus dan ada kolam air hangatnya, kamar luas dan bersih, petugas baik dan ramah, makanan banyak variasi dan enak, untuk anak saya usia 10th sudah dikenakan charge 75rb, tidak sebanding dengan menu yang diambil anak, yang hanya telur dan bubur ayam🤭 tapi ga apa-apa. Overall puas menginap di sini. Terima kasih",positif,keluarga senang inap libur bandung check in mudah cepat jalan braga tinggal jalan kaki request lantai view kolam renang anak suami renang istirahat kamar kamar kolam renang bagus kolam air hangat kamar luas bersih tugas ramah makan variasi enak anak usia th kena charge rb banding menu ambil anak telur bubur ayam ga apaapa overall puas inap terima kasih
107,"Memuaskan kamar bersih besar dan nyaman, makanannya the best bakal balik lagii sepertinya, thxyou.",positif,muas kamar bersih nyaman makan the best lagi thxyou
108,"Selalu nginep di sini salah satunya, harga tidak terlalu mahal tapi fasilitas super, kamar oke, makanan sarapan oke, kolam renang oke, bangunan hotel oke, semua oke.",positif,nginep salah satu harga mahal fasilitas super kamar oke makan sarap oke kolam renang oke bangun hotel oke oke
109,"Tempat nyaman, staff ramah semua, untuk tambahan sarapan anak +75 udah termasuk murah, menu bervariatif dan enak hanua dibakwan jagung aja tepung ketebalan 😁. Lokasi dekat beraga+alun-alun bandung asal kuat jalanya ☺.",positif,nyaman staff ramah tambah sarap anak udah murah menu variatif enak hanua bakwan jagung aja tepung tebal lokasi beragaalunalun bandung kuat jala
110,"Enak nyaman nginap di el hotel bandung, makanan juga enak enak, terima kasih El hotel bandung.",positif,enak nyaman nginap el hotel bandung makan enak enak terima kasih el hotel bandung
111,"Selalu menyenangkan stay di eL Hotel, kamar selalu bersih, makanan selalu enak, fasilitas jangan ditanya komplit banget, mini market, ATM, kolam renang, gym juga ada, harga kamar ramah dikantong, ke Braga juga dekat tinggal jalan kaki, sukses selalu buat eL Hotel Bandung.",positif,senang stay el hotel kamar bersih makan enak fasilitas komplit banget mini market atm kolam renang gym harga kamar ramah kantong braga tinggal jalan kaki sukses el hotel bandung
112,"Staf ramah, kamar bersih, makanan enak.",positif,staf ramah kamar bersih makan enak
