text,clean_text,translated_text,subjektivitas,polaritas,sentimen
"Semua staff sangat ramah, kamar bersih wangi dan semua request yang dituliskan dikabulkan. Ah makasi el 💕.","semua staff sangat ramah, kamar bersih wangi dan semua request yang dituliskan dikabulkan. ah makasi el 💕.","all the staff are very friendly, the rooms are clean and smell good and all written requests are granted. ah, thanks el 💕.",0.5375000000000001,0.43854166666666666,positif
"Recommended deh. Lokasi strategis, jalan kaki bisa ke braga.","recommended deh. lokasi strategis, jalan kaki bisa ke braga.","recommended. strategic location, you can walk to braga.",0.0,0.0,netral
"Semoga bisa dapat promo khusus, supaya nanti bisa ke el royal lagi.","semoga bisa dapat promo khusus, supaya nanti bisa ke el royal lagi.","hopefully we can get a special promotion, so that later we can go to el royal again.",0.2857142857142857,0.17857142857142858,positif
Sudah beberapa kali saya menginap di El Hotel. Secara keseluruhan saya suka menginap di sini. Recommended.,sudah beberapa kali saya menginap di el hotel. secara keseluruhan saya suka menginap di sini. recommended.,i have stayed at el hotel several times. overall i like staying here. recommended.,0.0,0.0,netral
"View dari kamar lantai 9, kelihatan gunung dan kota bandung.","view dari kamar lantai 9, kelihatan gunung dan kota bandung.","view from the room on the 9th floor, you can see the mountains and the city of bandung.",0.0,0.0,netral
"Kesekian kalinya menginap di El Hotel Bandung, sekalipun pesannya pas dijalan karena dadakan kebandung, selalu berkesan menyenangkan menginap di sini dalam hal apapun, terima kasih El Hotel Bandung & aplikasi.","kesekian kalinya menginap di el hotel bandung, sekalipun pesannya pas dijalan karena dadakan kebandung, selalu berkesan menyenangkan menginap di sini dalam hal apapun, terima kasih el hotel bandung & aplikasi.","this is the umpteenth time staying at el hotel bandung, even though the order was right on the road due to a sudden visit to bandung, it always feels like a pleasant stay in any case, thank you el hotel bandung & the application.",0.5943452380952381,0.22351190476190474,positif
Hotel bintang 4 terbaik dari sisi pelayanan dan lokasi hingga makanan. Akan datang lagi ke hotel ini.,hotel bintang 4 terbaik dari sisi pelayanan dan lokasi hingga makanan. akan datang lagi ke hotel ini.,the best 4 star hotel in terms of service and location to food. will come again to this hotel.,0.3,1.0,positif
"Staff hotel nya sangat ramah banget, enggak cukup cuma sekali nginep saja.","staff hotel nya sangat ramah banget, enggak cukup cuma sekali nginep saja.","the hotel staff is very friendly, it's not enough just to stay once.",0.575,0.24375000000000002,positif
"Brongkosnya seger n sambelnya enak, bread puding enak ga enek meskipun menurut saya terlalu manis. Yang terpenting bersih n udara yang keluar dari ac ga apek. Stafnya ramah semua bahkan anak aku mau ke toilet pas lagi sarapan dianter. Makasih buat Mbak rambut pendek yang ada area breakfast lupa namanya.","brongkosnya seger n sambelnya enak, bread puding enak ga enek meskipun menurut saya terlalu manis. yang terpenting bersih n udara yang keluar dari ac ga apek. stafnya ramah semua bahkan anak aku mau ke toilet pas lagi sarapan dianter. makasih buat mbak rambut pendek yang ada area breakfast lupa namanya.","the brongkos is fresh and the chili sauce is delicious, the bread pudding is delicious but not bad even though i think it's too sweet. the most important thing is that it is clean and the air coming out of the ac is not musty. the staff were all friendly, even my child wanted to go to the toilet when breakfast was being delivered. thank you to the short-haired lady who forgot the name of the breakfast area.",0.6516666666666666,0.4608333333333333,positif
"Breakfast banyak pilihan, rasanya pun enak-enak. Pelayanan baik, staff ramah-ramah","breakfast banyak pilihan, rasanya pun enak-enak. pelayanan baik, staff ramah-ramah","breakfast has many choices, it tastes delicious. good service, friendly staff",0.65,0.64375,positif
"Luar biasa. Mantap. Asyrk dan nyaman, bersih.","luar biasa. mantap. asyrk dan nyaman, bersih.","extraordinary. excellent. fun and comfortable, clean.",0.74,0.48,positif
Alhamdulillah nginap di el hotel bandung sangat nyaman sekali. Untuk pelayanannya sangat baik sekali. Untuk makanannya luar biasa sangat lezat baik room service dan breakfastnya. Insya allah saya sekeluarga akan menginap kembali di sini.,alhamdulillah nginap di el hotel bandung sangat nyaman sekali. untuk pelayanannya sangat baik sekali. untuk makanannya luar biasa sangat lezat baik room service dan breakfastnya. insya allah saya sekeluarga akan menginap kembali di sini.,"thank god, staying at el hotel bandung was very comfortable. the service is very good. the food is extraordinary, very delicious, both room service and breakfast. god willing, my family and i will stay here again.",0.906,0.6026666666666667,positif
"Hotelnya keren banget, terutama kamar condotel nya, dekat dengan braga, dekat ke stasiun, cocok banget buat liburan sama. Keluarga, bakalan kesana lagi nanti. Top banget.","hotelnya keren banget, terutama kamar condotel nya, dekat dengan braga, dekat ke stasiun, cocok banget buat liburan sama. keluarga, bakalan kesana lagi nanti. top banget.","the hotel is really cool, especially the condotel room, close to braga, close to the station, perfect for a vacation together. family, will be there again later. very top",0.6599999999999999,0.4,positif
"Vibesnya kayak hotel bintang 5 yang megah tp versi agak jadul, so far kenyamanan bermalam tidak ada yang mengecewakan karena dkt dengan pusat keramaian di Braga (cukup jalan kaki 5 menit). Pelayan ramah. Hanya saja pas tamu ramai banget kewalahan menyiapkan breakfast padahal hotel sudah buka 4 lokasi resto. Banyak banget peminat di hotel ini. Sudah pasti approve untuk bermalam di sini lagi dilain kesempatan.","vibesnya kayak hotel bintang 5 yang megah tp versi agak jadul, so far kenyamanan bermalam tidak ada yang mengecewakan karena dkt dengan pusat keramaian di braga (cukup jalan kaki 5 menit). pelayan ramah. hanya saja pas tamu ramai banget kewalahan menyiapkan breakfast padahal hotel sudah buka 4 lokasi resto. banyak banget peminat di hotel ini. sudah pasti approve untuk bermalam di sini lagi dilain kesempatan.","the vibe is like a magnificent 5 star hotel but a slightly old school version, so far there is no disappointment in the comfort of your overnight stay because it is close to the bustling center of braga (just walk 5 minutes). friendly waiter. it's just that when there are so many guests, it's really difficult to prepare breakfast even though the hotel has opened 4 restaurant locations. there are lots of people interested in this hotel. definitely approve to spend the night here again next time.",0.5181818181818182,0.1840909090909091,positif
"Pelayanan sangat bagus, tiap ke Bandung pasti nginap di sini, lokasi di tengah Kota, sangat dekat dengan Braga, Gereja Katedral dan Stasiun Bandung. Pokoke sangat superr, sangat recommended","pelayanan sangat bagus, tiap ke bandung pasti nginap di sini, lokasi di tengah kota, sangat dekat dengan braga, gereja katedral dan stasiun bandung. pokoke sangat superr, sangat recommended","very good service, every time you go to bandung you definitely stay here, the location is in the middle of the city, very close to braga, the cathedral church and bandung station. really super, highly recommended",0.4644444444444445,0.2672222222222222,positif
"Pertama kali menginap di El hotel ini, kami semua cukup puas, kamarnya luas dan bersih, handuk-handuk nya juga bersih dan putih, kolam renang hangat jadi kita udah berenang jam 6 pagi. Dekat kemana-mana ke braga tinggal jalan kaki di sana sudah pusat makanan. Pokoknya klw ke bandung lagi akan menginap di sini","pertama kali menginap di el hotel ini, kami semua cukup puas, kamarnya luas dan bersih, handuk-handuk nya juga bersih dan putih, kolam renang hangat jadi kita udah berenang jam 6 pagi. dekat kemana-mana ke braga tinggal jalan kaki di sana sudah pusat makanan. pokoknya klw ke bandung lagi akan menginap di sini","first time staying at this el hotel, we were all quite satisfied, the rooms were spacious and clean, the towels were also clean and white, the swimming pool was warm so we were already swimming at 6 in the morning. close to everywhere in braga, just walk, there is a food center. basically, if i go to bandung again i will stay here",0.4904761904761905,0.2833333333333333,positif
"Sampe dihotel, semua crew ramah² sekali. Kamarpun wow banget, luas dan ada bathupnya, makanan ga ada yang failed, kolam renang best","sampe dihotel, semua crew ramah² sekali. kamarpun wow banget, luas dan ada bathupnya, makanan ga ada yang failed, kolam renang best","arriving at the hotel, all the crew were very friendly. the room is really wow, spacious and has a bathtub, no food fails, the swimming pool is the best",0.5625,0.271875,positif
Salah satu hotel pilihan kalo lagi dibandung👍,salah satu hotel pilihan kalo lagi dibandung👍,one of the hotels of choice when in bandung👍,0.0,0.0,netral
"Menginap di sini adalah pilihan yang terbaik. Saya staycation di sini selama 2 hari dan memilih tipe yang condotel, yang memiliki kamar yang luas dan kamar mandi bathtub. Kolam renangnya sangat luas dan ada air hangat sehingga anak saya sangat senang berenang.","menginap di sini adalah pilihan yang terbaik. saya staycation di sini selama 2 hari dan memilih tipe yang condotel, yang memiliki kamar yang luas dan kamar mandi bathtub. kolam renangnya sangat luas dan ada air hangat sehingga anak saya sangat senang berenang.","staying here is the best choice. i stayed on vacation here for 2 days and chose the condotel type, which has spacious rooms and a bathtub bathroom. the swimming pool is very wide and there is warm water so my child really enjoyed swimming.",0.53,0.4925,positif
"Langganan staycation di sini, selalu puas.","langganan staycation di sini, selalu puas.","staycation subscription here, always satisfied.",1.0,0.5,positif
"Terima kasih El Hotel sudah membuat liburan saya & keluarga menyenangkan. Hotelnya sangat nyaman & bersih, semua fasilitas di hotel ini bisa gunakan dengan baik. Apalagi untuk kolam renangnya air hangat, saya & keluarga sangat suka bisa berendam tanpa takut kedinginan. Pastinya saya akan ksini lagi 🥰","terima kasih el hotel sudah membuat liburan saya & keluarga menyenangkan. hotelnya sangat nyaman & bersih, semua fasilitas di hotel ini bisa gunakan dengan baik. apalagi untuk kolam renangnya air hangat, saya & keluarga sangat suka bisa berendam tanpa takut kedinginan. pastinya saya akan ksini lagi 🥰","thank you el hotel for making my & my family's holiday enjoyable. the hotel is very comfortable & clean, all the facilities in this hotel can be used properly. moreover, the swimming pool has warm water, my family & i really like being able to soak without fear of getting cold. i will definitely come here again 🥰",0.5916666666666668,0.23185185185185186,positif
Hotel bagus ramah dikantong. Pelayanan cepat wlwpun lagi liburan panjang. Kolam renangnya besar dan ada kolam air hangatny. Rekomen untuk yang bawa anak-anak.,hotel bagus ramah dikantong. pelayanan cepat wlwpun lagi liburan panjang. kolam renangnya besar dan ada kolam air hangatny. rekomen untuk yang bawa anak-anak.,good pocket friendly hotel. fast service even though it's a long holiday. the swimming pool is large and there is a warm water pool. recommended for those bringing children.,0.5214285714285715,0.33988095238095234,positif
Bagus banget pelayanan dan tempatnya.,bagus banget pelayanan dan tempatnya.,really good service and place.,0.6000000000000001,0.7,positif
